fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00831,0.0109,0.92788,0.00051,2.56225,0.8,7.5,0.5,1.65275,0.01528,0.64823,0.40406,0.0,0.10012,0.5,0.0,0.0,0.0,0.53541,0.0,0.96459,0.0,0.0
0.0,0.00831,0.01092,0.95957,0.00049,3.03863,0.8,7.37805,0.48655,1.65275,0.01551,0.49682,0.45448,0.0,0.09285,0.5,0.0,0.0,0.0,0.49353,0.0,0.96459,0.0,0.0
0.0,0.0089,0.01095,0.95957,0.00048,3.03863,0.90232,6.90684,0.47741,1.65275,0.01814,0.42134,0.54207,0.0,0.08309,0.41579,0.0,0.0,0.0,0.51527,0.0,0.76534,0.0,0.0
0.0,0.00974,0.01,0.92897,0.00059,2.92245,0.8,7.68135,0.5,1.63025,0.01597,0.65596,0.4,0.0,0.09709,0.49671,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00831,0.01017,0.9636,0.00049,3.24001,0.81443,7.69885,0.57383,2.03939,0.02102,0.49682,0.45448,0.0,0.09285,0.45009,0.0,0.0,0.0,0.52042,0.0,0.96459,0.0,0.0
0.0,0.0089,0.01095,0.9658,0.00051,2.95555,0.91196,7.22512,0.52286,1.61194,0.01768,0.42134,0.54207,0.0,0.08005,0.41438,0.0,0.0,0.0,0.50194,0.0,0.66448,0.0,0.0
0.0,0.00809,0.01062,0.93714,0.00058,2.98954,0.89011,7.68135,0.53507,1.60294,0.01516,0.66737,0.34607,0.0,0.10909,0.50355,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00997,0.01004,0.92935,0.00059,2.88843,0.74889,8.33852,0.5074,1.75104,0.01519,0.65596,0.38824,0.0,0.09548,0.49302,0.0,0.0,0.0,0.49091,0.0,0.98917,0.0,0.0
0.0,0.01062,0.00557,0.98,0.00047,3.52766,0.94916,7.64182,0.48655,1.50827,0.01551,0.41036,0.52049,0.0,0.09285,0.64353,0.0,0.0,0.0,0.54077,0.0,0.83515,0.0,0.0
0.0,0.01062,0.00556,0.98,0.00049,2.97461,0.94916,7.76813,0.5,1.50827,0.01528,0.53543,0.46274,0.0,0.10012,0.64353,0.0,0.0,0.0,0.58665,0.0,0.83515,0.0,0.0
0.0,0.00831,0.00922,0.9617,0.00045,2.73105,0.53994,7.75144,0.44127,1.65275,0.0139,0.53184,0.49077,0.0,0.12005,0.5,0.0,0.0,0.0,0.52399,0.0,1.0,0.0,0.0
0.0,0.00813,0.01086,0.93148,0.00056,2.44365,0.8,7.75675,0.49366,1.46642,0.01364,0.57837,0.41048,0.0,0.09716,0.49819,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01013,0.00915,0.9485,0.00055,3.27622,0.80867,8.64513,0.49718,1.63025,0.01616,0.62979,0.41554,0.0,0.08857,0.51956,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00858,0.00995,0.96008,0.00048,2.5199,0.9001,6.75383,0.47741,1.59343,0.0188,0.46683,0.55431,0.0,0.08189,0.41306,0.0,0.0,0.0,0.51527,0.0,0.741,0.0,0.0
0.0,0.00923,0.01,0.90246,0.00056,2.9126,0.61049,7.5,0.53092,1.5,0.01644,0.6875,0.45672,0.0,0.06963,0.49632,0.0,0.0,0.0,0.45692,0.0,0.80126,0.0,0.0
0.0,0.01,0.01118,0.89025,0.0005,3.77034,0.85614,6.19449,0.48042,1.71779,0.015,0.73221,0.40408,0.0,0.10893,0.41307,0.0,0.0,0.0,0.54387,0.0,0.92901,0.0,0.0
0.0,0.0112,0.00815,0.9485,0.00053,4.42455,0.83275,8.64513,0.49718,1.87393,0.01296,0.55501,0.41554,0.0,0.08857,0.34994,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.00858,0.01136,0.98,0.00071,2.44365,0.91114,6.22487,0.29058,1.15733,0.01418,0.60076,0.39204,0.0,0.09311,0.49819,0.0,0.0,0.0,0.44742,0.0,1.0,0.0,0.0
0.0,0.00989,0.01112,0.88333,0.0005,3.77034,0.85203,6.24732,0.4737,1.71779,0.01511,0.73221,0.41188,0.0,0.10893,0.41962,0.0,0.0,0.0,0.54184,0.0,0.92901,0.0,0.0
